effectiveAt,market,payment,rate,positionSize,price
"2023-11-15T22:00:00.000Z","BTC-USD","-0.264271","-0.0000350919","-0.2","37654.210001"
"2023-11-15T21:00:00.000Z","BTC-USD","-0.107606","-0.0000143331","-0.2","37537.934000"
"2023-11-15T20:00:00.000Z","BTC-USD","0.107856","0.0000287922","-0.1","37460.558000"
"2023-11-15T18:00:00.000Z","BTC-USD","0.216333","0.0000197529","-0.3","36506.568000"
"2023-11-15T17:00:00.000Z","BTC-USD","0.251443","0.0000230506","-0.3","36361.130001"
"2023-11-15T16:00:00.000Z","BTC-USD","0.275192","0.0000252198","-0.3","36372.580000"
"2023-11-15T15:00:00.000Z","BTC-USD","0.224002","0.0000206789","-0.3","36108.291000"
"2023-11-15T14:00:00.000Z","BTC-USD","0.239943","0.0000221516","-0.3","36106.219999"
"2023-11-15T13:00:00.000Z","BTC-USD","0.285482","0.0000262542","-0.3","36246.000000"
"2023-11-15T12:00:00.000Z","BTC-USD","0.332669","0.0000305820","-0.3","36259.800000"
"2023-11-15T11:00:00.000Z","BTC-USD","0.217729","0.0000202264","-0.3","35882.000001"
"2023-11-15T10:00:00.000Z","BTC-USD","0.267745","0.0000249235","-0.3","35808.999999"
"2023-11-15T09:00:00.000Z","BTC-USD","0.196113","0.0000182483","-0.3","35823.140000"
"2023-11-15T08:00:00.000Z","BTC-USD","0.186125","0.0000174438","-0.3","35566.833001"
"2023-11-15T07:00:00.000Z","BTC-USD","0.216886","0.0000203032","-0.3","35608.000001"
"2023-11-15T06:00:00.000Z","BTC-USD","0.231137","0.0000216351","-0.3","35611.572999"
"2023-11-15T05:00:00.000Z","BTC-USD","0.211128","0.0000197957","-0.3","35551.260000"
"2023-11-15T04:00:00.000Z","BTC-USD","0.18979","0.0000178653","-0.3","35411.557001"
"2023-11-15T03:00:00.000Z","BTC-USD","0.246365","0.0000231488","-0.3","35475.615000"
"2023-11-15T02:00:00.000Z","BTC-USD","0.131892","0.0000123890","-0.3","35486.244999"
"2023-11-15T01:00:00.000Z","BTC-USD","0.257562","0.0000241605","-0.3","35534.900001"
"2023-11-15T00:00:00.000Z","BTC-USD","0.149904","0.0000140506","-0.3","35562.890000"
"2023-11-14T23:00:00.000Z","BTC-USD","0.301098","0.0000281937","-0.3","35598.850001"
"2023-11-14T22:00:00.000Z","BTC-USD","0.394855","0.0000369940","-0.3","35578.373000"
"2023-11-14T21:00:00.000Z","BTC-USD","0.26799","0.0000253053","-0.3","35300.980001"
"2023-11-14T20:00:00.000Z","BTC-USD","0.183949","0.0000173867","-0.3","35266.330999"
"2023-11-14T19:00:00.000Z","BTC-USD","0.335058","0.0000317158","-0.3","35214.680000"
"2023-11-14T18:00:00.000Z","BTC-USD","0.705043","0.0000558466","-0.35","36070.429001"
"2023-11-14T17:00:00.000Z","BTC-USD","0.578353","0.0000455145","-0.35","36305.809610"
"2023-11-14T16:00:00.000Z","BTC-USD","0.50915","0.0000402588","-0.35","36134.198999"
"2023-11-14T15:00:00.000Z","BTC-USD","0.641173","0.0000500438","-0.35","36606.423999"
"2023-11-14T14:00:00.000Z","BTC-USD","0.579474","0.0000453569","-0.35","36502.620000"
"2023-11-14T13:00:00.000Z","BTC-USD","0.301421","0.0000236839","-0.35","36362.460000"
