createdAt,side,liquidity,type,market,price,size,fee
"2023-11-15T22:34:23.121Z","BUY","TAKER","MARKET","BTC-USD","37744","0.0008","0.012078"
"2023-11-15T22:34:23.121Z","BUY","TAKER","MARKET","BTC-USD","37744","0.1992","3.007441"
"2023-11-15T20:14:22.022Z","SELL","TAKER","MARKET","BTC-USD","37667","0.1","1.50668"
"2023-11-15T19:15:43.749Z","SELL","TAKER","MARKET","BTC-USD","37403","0.1","1.49612"
"2023-11-15T18:11:16.840Z","BUY","TAKER","MARKET","BTC-USD","36706","0.3","4.40472"
"2023-11-14T18:48:01.238Z","BUY","TAKER","MARKET","BTC-USD","35750","0.05","0.715"
"2023-11-13T14:31:40.717Z","SELL","TAKER","MARKET","BTC-USD","36866","0.282","4.158484"
"2023-11-13T14:31:40.717Z","SELL","TAKER","MARKET","BTC-USD","36866","0.068","1.002755"
"2023-11-13T02:35:43.091Z","BUY","TAKER","MARKET","BTC-USD","37274","0.05","0.74548"
"2023-11-13T02:35:19.609Z","BUY","MAKER","LIMIT","BTC-USD","37281","0.2464","1.377905"
"2023-11-13T02:35:19.478Z","BUY","MAKER","LIMIT","BTC-USD","37281","0.0536","0.299739"
"2023-11-13T01:35:14.572Z","SELL","MAKER","LIMIT","BTC-USD","37198","0.257","1.433982"
"2023-11-13T01:35:14.280Z","SELL","MAKER","LIMIT","BTC-USD","37198","0.093","0.518912"
"2023-11-13T01:34:08.009Z","SELL","TAKER","MARKET","BTC-USD","37211","0.4","5.95376"
"2023-11-13T01:24:52.290Z","BUY","TAKER","MARKET","BTC-USD","37297","0.1","1.49188"
"2023-11-13T01:17:10.511Z","BUY","TAKER","MARKET","BTC-USD","37413","0.3","4.48956"
"2023-11-12T23:22:14.017Z","SELL","TAKER","STOP_MARKET","BTC-USD","37001","0.2116","3.131764"
"2023-11-12T23:22:14.017Z","SELL","TAKER","STOP_MARKET","BTC-USD","37001","0.0068","0.100642"
"2023-11-12T23:22:14.017Z","SELL","TAKER","STOP_MARKET","BTC-USD","37002","0.0816","1.207745"
"2023-11-12T17:32:53.231Z","BUY","MAKER","LIMIT","BTC-USD","37146","0.2529","1.409133"
"2023-11-12T17:32:53.220Z","BUY","MAKER","LIMIT","BTC-USD","37146","0.0087","0.048475"
"2023-11-12T17:32:52.678Z","BUY","MAKER","LIMIT","BTC-USD","37146","0.0125","0.069648"
"2023-11-12T17:32:51.631Z","BUY","MAKER","LIMIT","BTC-USD","37146","0.0259","0.144312"
"2023-11-11T06:25:52.802Z","SELL","TAKER","MARKET","FIL-USD","4.52","327.3","0.591758"
"2023-11-11T06:25:52.802Z","SELL","TAKER","MARKET","FIL-USD","4.52","47.7","0.086241"
"2023-11-10T21:07:37.735Z","BUY","TAKER","MARKET","FIL-USD","4.55","132.2","0.240604"
"2023-11-10T21:07:37.735Z","BUY","TAKER","MARKET","FIL-USD","4.55","242.8","0.441896"
"2023-11-10T07:19:36.293Z","SELL","TAKER","MARKET","XLM-USD","0.1224","12000","0.58752"
"2023-11-10T07:16:22.378Z","SELL","TAKER","MARKET","SOL-USD","47.648","18.7","0.356407"
"2023-11-10T07:16:22.378Z","SELL","TAKER","MARKET","SOL-USD","47.648","6.3","0.120072"
"2023-11-10T06:21:20.458Z","BUY","TAKER","MARKET","SOL-USD","46.933","18.6","0.349181"
"2023-11-10T06:21:20.458Z","BUY","TAKER","MARKET","SOL-USD","46.927","6.4","0.120133"
"2023-11-09T22:29:34.546Z","BUY","TAKER","MARKET","XLM-USD","0.1208","12000","0.57984"
"2023-11-09T22:20:22.102Z","SELL","TAKER","MARKET","XLM-USD","0.1206","68530","3.305887"
"2023-11-09T22:20:22.102Z","SELL","TAKER","MARKET","XLM-USD","0.1206","14900","0.718776"
"2023-11-09T22:20:22.102Z","SELL","TAKER","MARKET","XLM-USD","0.1207","16570","0.799999"
"2023-11-09T22:18:41.187Z","BUY","MAKER","LIMIT","XLM-USD","0.1209","4600","0.083421"
"2023-11-09T22:18:41.172Z","BUY","MAKER","LIMIT","XLM-USD","0.1209","4870","0.088317"
"2023-11-09T22:18:41.159Z","BUY","MAKER","LIMIT","XLM-USD","0.1209","9750","0.176816"
"2023-11-09T22:18:40.432Z","BUY","MAKER","LIMIT","XLM-USD","0.1209","2430","0.044068"
"2023-11-09T22:18:40.419Z","BUY","MAKER","LIMIT","XLM-USD","0.1209","8260","0.149795"
"2023-11-09T22:18:40.302Z","BUY","MAKER","LIMIT","XLM-USD","0.1209","600","0.010881"
"2023-11-09T22:18:40.195Z","BUY","MAKER","LIMIT","XLM-USD","0.1209","19750","0.358166"
"2023-11-09T22:18:40.139Z","BUY","MAKER","LIMIT","XLM-USD","0.1209","2560","0.046425"
"2023-11-09T22:18:39.624Z","BUY","MAKER","LIMIT","XLM-USD","0.1209","3880","0.070363"
"2023-11-09T22:18:39.440Z","BUY","MAKER","LIMIT","XLM-USD","0.1209","4640","0.084146"
"2023-11-09T22:18:39.383Z","BUY","MAKER","LIMIT","XLM-USD","0.1209","2390","0.043342"
"2023-11-09T22:18:39.277Z","BUY","MAKER","LIMIT","XLM-USD","0.1209","16520","0.29959"
"2023-11-09T22:18:39.250Z","BUY","MAKER","LIMIT","XLM-USD","0.1209","19750","0.358166"
"2023-11-09T22:13:17.312Z","BUY","MAKER","LIMIT","BTC-USD","36681","0.7","3.851505"
"2023-11-09T16:37:01.318Z","SELL","TAKER","MARKET","SOL-USD","43.582","11.4","0.198733"
"2023-11-09T16:13:49.030Z","BUY","TAKER","MARKET","SOL-USD","43.819","9.4","0.205949"
"2023-11-09T16:13:49.030Z","BUY","TAKER","MARKET","SOL-USD","43.736","2","0.043736"
"2023-11-09T16:11:58.550Z","SELL","TAKER","MARKET","BTC-USD","36673","0.3","5.50095"
"2023-11-09T13:12:49.180Z","SELL","TAKER","MARKET","BTC-USD","36919","0.05","0.73838"
"2023-11-09T10:25:26.175Z","SELL","TAKER","MARKET","BTC-USD","36923","0.05","0.923075"
"2023-11-09T10:25:11.880Z","BUY","TAKER","MARKET","BTC-USD","36926","0.5","9.2315"
"2023-11-09T10:24:35.915Z","SELL","TAKER","MARKET","BTC-USD","36927","0.313","5.779075"
"2023-11-09T10:24:35.915Z","SELL","TAKER","MARKET","BTC-USD","36932","0.187","3.453142"
"2023-11-09T10:05:54.651Z","SELL","TAKER","MARKET","BTC-USD","36781","0.15","2.758575"
"2023-11-09T07:43:35.546Z","SELL","TAKER","MARKET","BTC-USD","36619","0.1489","2.726284"
"2023-11-09T07:43:35.546Z","SELL","TAKER","MARKET","BTC-USD","36619","0.0011","0.02014"
