Date,Received Amount,Received Currency,Sent Amount,Sent Currency,Label
2022-12-19 13:30:00,6.0,ETH,,,Margin Loan
2022-12-19 14:39:00,,,6.0,ETH,Margin Repayment
2022-12-19 15:03:00,6.0,ETH,,,Margin Loan
2022-12-20 01:33:00,,,6.0,ETH,Margin Repayment
2022-12-27 16:22:00,2.5,ETH,,,Margin Loan
2022-12-28 00:22:00,350.0,AVAX,,,Margin Loan
2022-12-29 01:15:00,,,2.5,ETH,Margin Repayment
2022-12-29 20:47:00,,,350.0,AVAX,Margin Repayment
2023-01-07 17:36:00,15350.0,TRX,,,Margin Loan
2023-01-08 07:31:00,,,15350.0,TRX,Margin Repayment
2023-01-09 10:58:00,35000.0,TRX,,,Margin Loan
2023-01-10 13:23:00,4.0,ETH,,,Margin Loan
2023-01-10 19:16:00,,,4.0,ETH,Margin Repayment
2023-01-10 19:42:00,4.0,ETH,,,Margin Loan
2023-01-10 21:44:00,,,4.0,ETH,Margin Repayment
2023-01-11 23:36:00,,,35000.0,TRX,Margin Repayment
2023-01-17 10:31:00,65000.0,TRX,,,Margin Loan
2023-01-18 13:12:00,,,65000.0,TRX,Margin Repayment
2023-01-23 15:10:00,0.2,BTC,,,Margin Loan
2023-01-23 15:14:00,,,0.2,BTC,Margin Repayment
2023-01-27 06:56:00,0.2,BTC,,,Margin Loan
2023-01-27 07:52:00,,,0.2,BTC,Margin Repayment
2023-02-17 13:20:00,0.4,ETH,,,Margin Loan
2023-02-17 20:07:00,,,0.4,ETH,Margin Repayment
2023-02-22 10:55:00,0.2,BTC,,,Margin Loan
2023-02-22 11:58:00,,,0.2,BTC,Margin Repayment
2023-02-24 09:20:00,1500.0,LINK,,,Margin Loan
2023-02-24 10:09:00,,,1500.0,LINK,Margin Repayment
2023-02-24 13:36:00,0.30000000000000004,BTC,,,Margin Loan
2023-02-24 20:27:00,,,0.30000000000000004,BTC,Margin Repayment
2023-02-24 21:42:00,0.15000000000000002,BTC,,,Margin Loan
2023-02-24 23:15:00,,,0.15000000000000002,BTC,Margin Repayment
2023-02-25 12:29:00,183750.0,TRX,,,Margin Loan
2023-02-25 13:08:00,,,183750.0,TRX,Margin Repayment
2023-03-07 14:15:00,0.2614,BTC,,,Margin Loan
2023-03-07 14:45:00,,,0.2614,BTC,Margin Repayment
2023-08-01 08:07:00,0.71,BTC,,,Margin Loan
2023-08-02 05:40:00,,,0.71,BTC,Margin Repayment
2023-08-02 17:55:00,0.7014,BTC,,,Margin Loan
2023-08-02 17:55:00,1.5,ETH,,,Margin Loan
2023-08-02 18:04:00,20153.0,ALGO,,,Margin Loan
2023-08-03 19:06:00,,,20153.0,ALGO,Margin Repayment
2023-08-04 12:42:00,,,0.7014,BTC,Margin Repayment
2023-08-04 13:38:00,,,1.5,ETH,Margin Repayment
2023-08-04 15:17:00,0.7014,BTC,,,Margin Loan
2023-08-04 18:51:00,5.0,ETH,,,Margin Loan
2023-08-07 21:23:00,,,0.7014,BTC,Margin Repayment
2023-08-07 21:23:00,,,5.0,ETH,Margin Repayment
2023-08-08 07:49:00,0.7014,BTC,,,Margin Loan
2023-08-08 07:49:00,5.0,ETH,,,Margin Loan
2023-08-08 12:58:00,,,5.0,ETH,Margin Repayment
2023-08-08 13:05:00,,,0.7014,BTC,Margin Repayment
2023-08-11 15:43:00,1.5,ETH,,,Margin Loan
2023-08-11 15:43:00,0.7014,BTC,,,Margin Loan
2023-08-13 19:42:00,,,1.5,ETH,Margin Repayment
2023-08-13 19:42:00,,,0.7014,BTC,Margin Repayment
2023-08-13 20:10:00,1.5,ETH,,,Margin Loan
2023-08-13 20:10:00,1.0104000000000002,BTC,,,Margin Loan
2023-08-16 18:32:00,5000.0,ALGO,,,Margin Loan
2023-08-28 02:41:00,0.6,YFI,,,Margin Loan
2023-09-28 16:04:00,,,5000.0,ALGO,Margin Repayment
2023-10-01 05:45:00,,,0.6,YFI,Margin Repayment
2023-10-02 14:23:00,1.0,YFI,,,Margin Loan
2023-10-10 15:00:00,7.0,AAVE,,,Margin Loan
2023-10-11 12:42:00,15.0,LTC,,,Margin Loan
2023-10-13 20:04:00,,,7.0,AAVE,Margin Repayment
2023-10-13 20:55:00,,,1.0,YFI,Margin Repayment
2023-10-13 20:55:00,,,15.0,LTC,Margin Repayment
2023-10-13 20:56:00,,,1.5,ETH,Margin Repayment
2023-10-13 21:01:00,,,1.0104000000000002,BTC,Margin Repayment
2023-10-14 07:32:00,0.2014,BTC,,,Margin Loan
2023-10-15 18:29:00,,,0.2014,BTC,Margin Repayment
2023-10-17 05:02:00,0.701,BTC,,,Margin Loan
2023-10-17 18:56:00,1.0,YFI,,,Margin Loan
2023-10-18 04:36:00,,,0.701,BTC,Margin Repayment
2023-10-18 04:50:00,,,1.0,YFI,Margin Repayment
2023-10-18 07:47:00,0.7014,BTC,,,Margin Loan
2023-10-18 08:13:00,1.0,YFI,,,Margin Loan
2023-10-18 15:51:00,,,0.7014,BTC,Margin Repayment
2023-10-18 17:23:00,0.7010000000000001,BTC,,,Margin Loan
2023-10-19 16:34:00,50.0,LTC,,,Margin Loan
2023-10-20 03:26:00,,,50.0,LTC,Margin Repayment
2023-10-20 14:38:00,,,0.7010000000000001,BTC,Margin Repayment
2023-10-20 14:49:00,,,1.0,YFI,Margin Repayment
2023-10-21 01:54:00,0.7000000000000001,BTC,,,Margin Loan
2023-10-21 01:56:00,2.0,YFI,,,Margin Loan
2023-10-21 01:58:00,0.9999999999999999,YFI,,,Margin Loan
2023-10-21 01:59:00,,,2.0,YFI,Margin Repayment
2023-10-21 05:13:00,,,0.9999999999999999,YFI,Margin Repayment
2023-10-21 06:44:00,,,0.7000000000000001,BTC,Margin Repayment
2023-10-22 16:49:00,0.7,BTC,,,Margin Loan
2023-10-27 18:19:00,,,0.7,BTC,Margin Repayment
2023-10-28 17:03:00,0.35,BTC,,,Margin Loan
2023-10-29 06:40:00,,,0.35,BTC,Margin Repayment
2023-10-30 02:00:00,0.35000000000000003,BTC,,,Margin Loan
2023-10-30 09:20:00,,,0.35000000000000003,BTC,Margin Repayment
2023-10-30 13:06:00,0.7,BTC,,,Margin Loan
2023-10-30 13:22:00,,,0.7,BTC,Margin Repayment
2023-10-30 14:31:00,0.7,BTC,,,Margin Loan
2023-10-31 08:02:00,7.0,LTC,,,Margin Loan
2023-10-31 08:20:00,,,7.0,LTC,Margin Repayment
2023-10-31 15:45:00,2.0,ETH,,,Margin Loan
2023-10-31 16:41:00,,,2.0,ETH,Margin Repayment
2023-10-31 16:52:00,,,0.7,BTC,Margin Repayment
2023-10-31 17:12:00,0.7,BTC,,,Margin Loan
2023-10-31 19:00:00,,,0.7,BTC,Margin Repayment
2023-11-01 11:20:00,2.0,ETH,,,Margin Loan
2023-11-01 11:38:00,,,2.0,ETH,Margin Repayment
2023-11-01 13:40:00,0.7,BTC,,,Margin Loan
2023-11-01 13:41:00,2.0,ETH,,,Margin Loan
2023-11-01 18:21:00,,,0.7,BTC,Margin Repayment
2023-11-01 18:21:00,,,2.0,ETH,Margin Repayment
2023-11-02 06:10:00,0.35,BTC,,,Margin Loan
2023-11-02 09:59:00,,,0.35,BTC,Margin Repayment
2023-11-02 13:30:00,0.7,BTC,,,Margin Loan
2023-11-02 17:39:00,,,0.7,BTC,Margin Repayment
2023-11-03 02:54:00,0.35,BTC,,,Margin Loan
2023-11-03 08:39:00,,,0.35,BTC,Margin Repayment
2023-11-07 15:44:00,0.35,BTC,,,Margin Loan
2023-11-07 17:45:00,,,0.35,BTC,Margin Repayment
2023-11-09 02:28:00,0.15,ETH,,,Margin Loan
2023-11-09 07:42:00,0.8,BTC,,,Margin Loan
2023-11-09 07:44:00,,,0.15,ETH,Margin Repayment
2023-11-09 22:14:00,,,0.8,BTC,Margin Repayment
2023-11-13 01:34:00,0.35,BTC,,,Margin Loan
2023-11-13 02:36:00,,,0.35,BTC,Margin Repayment
2023-11-13 14:30:00,0.35,BTC,,,Margin Loan
2023-11-15 18:12:00,,,0.35,BTC,Margin Repayment
2023-11-15 19:14:00,0.2,BTC,,,Margin Loan
2023-11-15 22:35:00,,,0.2,BTC,Margin Repayment
