Koinly Date,Amount,Label,Currency,Description
2022-12-19 00:00:00+00:00,-1.279061,Margin Fee,USDC,Funding
2022-12-20 00:00:00+00:00,-0.040032,Margin Fee,USDC,Funding
2022-12-22 00:00:00+00:00,-0.207259,Margin Fee,USDC,Funding
2022-12-27 00:00:00+00:00,-0.088633,Margin Fee,USDC,Funding
2022-12-28 00:00:00+00:00,0.739333,Interest Earned,USDC,Funding
2022-12-29 00:00:00+00:00,-0.423146,Margin Fee,USDC,Funding
2023-01-07 00:00:00+00:00,-0.118431,Margin Fee,USDC,Funding
2023-01-08 00:00:00+00:00,-0.157743,Margin Fee,USDC,Funding
2023-01-09 00:00:00+00:00,-0.557973,Margin Fee,USDC,Funding
2023-01-10 00:00:00+00:00,-0.789641,Margin Fee,USDC,Funding
2023-01-11 00:00:00+00:00,-1.162455,Margin Fee,USDC,Funding
2023-01-12 00:00:00+00:00,-0.397396,Margin Fee,USDC,Funding
2023-01-13 00:00:00+00:00,-0.189015,Margin Fee,USDC,Funding
2023-01-14 00:00:00+00:00,-3.252019,Margin Fee,USDC,Funding
2023-01-15 00:00:00+00:00,-2.241947,Margin Fee,USDC,Funding
2023-01-16 00:00:00+00:00,-1.207223,Margin Fee,USDC,Funding
2023-01-17 00:00:00+00:00,-1.319928,Margin Fee,USDC,Funding
2023-01-18 00:00:00+00:00,-1.620637,Margin Fee,USDC,Funding
2023-01-23 00:00:00+00:00,-0.915007,Margin Fee,USDC,Funding
2023-01-24 00:00:00+00:00,-6.747248,Margin Fee,USDC,Funding
2023-01-25 00:00:00+00:00,-2.835611,Margin Fee,USDC,Funding
2023-01-26 00:00:00+00:00,-3.938329,Margin Fee,USDC,Funding
2023-01-27 00:00:00+00:00,-2.023543,Margin Fee,USDC,Funding
2023-01-28 00:00:00+00:00,-1.036969,Margin Fee,USDC,Funding
2023-01-29 00:00:00+00:00,-1.656653,Margin Fee,USDC,Funding
2023-01-30 00:00:00+00:00,-0.456566,Margin Fee,USDC,Funding
2023-02-08 00:00:00+00:00,0.134374,Interest Earned,USDC,Funding
2023-02-09 00:00:00+00:00,-0.243535,Margin Fee,USDC,Funding
2023-02-13 00:00:00+00:00,0.111477,Interest Earned,USDC,Funding
2023-02-14 00:00:00+00:00,-0.262542,Margin Fee,USDC,Funding
2023-02-15 00:00:00+00:00,-0.387157,Margin Fee,USDC,Funding
2023-02-16 00:00:00+00:00,-5.413985,Margin Fee,USDC,Funding
2023-02-17 00:00:00+00:00,0.046941,Interest Earned,USDC,Funding
2023-02-19 00:00:00+00:00,-0.489911,Margin Fee,USDC,Funding
2023-02-20 00:00:00+00:00,-2.052826,Margin Fee,USDC,Funding
2023-02-21 00:00:00+00:00,-1.602964,Margin Fee,USDC,Funding
2023-02-22 00:00:00+00:00,0.09243,Interest Earned,USDC,Funding
2023-02-23 00:00:00+00:00,-0.38418,Margin Fee,USDC,Funding
2023-02-24 00:00:00+00:00,-0.12108,Margin Fee,USDC,Funding
2023-02-25 00:00:00+00:00,0.045611,Interest Earned,USDC,Funding
2023-02-28 00:00:00+00:00,-0.173928,Margin Fee,USDC,Funding
2023-03-01 00:00:00+00:00,-0.659915,Margin Fee,USDC,Funding
2023-03-02 00:00:00+00:00,-0.808597,Margin Fee,USDC,Funding
2023-03-03 00:00:00+00:00,2.575374,Interest Earned,USDC,Funding
2023-03-04 00:00:00+00:00,0.145769,Interest Earned,USDC,Funding
2023-03-05 00:00:00+00:00,0.075954,Interest Earned,USDC,Funding
2023-03-06 00:00:00+00:00,-0.296565,Margin Fee,USDC,Funding
2023-03-08 00:00:00+00:00,-0.328423,Margin Fee,USDC,Funding
2023-03-09 00:00:00+00:00,-0.397726,Margin Fee,USDC,Funding
2023-03-10 00:00:00+00:00,-0.011729,Margin Fee,USDC,Funding
2023-07-17 00:00:00+00:00,-0.038947,Margin Fee,USDC,Funding
2023-07-18 00:00:00+00:00,-0.428246,Margin Fee,USDC,Funding
2023-07-19 00:00:00+00:00,-0.379008,Margin Fee,USDC,Funding
2023-07-20 00:00:00+00:00,-0.380154,Margin Fee,USDC,Funding
2023-07-21 00:00:00+00:00,-0.719617,Margin Fee,USDC,Funding
2023-07-22 00:00:00+00:00,-1.124696,Margin Fee,USDC,Funding
2023-07-23 00:00:00+00:00,-0.356317,Margin Fee,USDC,Funding
2023-07-24 00:00:00+00:00,-0.808112,Margin Fee,USDC,Funding
