Koinly Date,Pair,Side,Amount,Price,Total,Fee Amount,Fee Currency
2023-11-15 22:34:00,BTC-USDC,Buy,0.0008,37744.0,30.1952,-0.012078,USDC
2023-11-15 22:34:00,BTC-USDC,Buy,0.1992,37744.0,7518.604799999999,-3.007441,USDC
2023-11-15 20:14:00,BTC-USDC,Sell,-0.1,37667.0,-3766.7000000000003,-1.50668,USDC
2023-11-15 19:15:00,BTC-USDC,Sell,-0.1,37403.0,-3740.3,-1.49612,USDC
2023-11-15 18:11:00,BTC-USDC,Buy,0.3,36706.0,11011.8,-4.40472,USDC
2023-11-14 18:48:00,BTC-USDC,Buy,0.05,35750.0,1787.5,-0.715,USDC
2023-11-13 14:31:00,BTC-USDC,Sell,-0.282,36866.0,-10396.212,-4.158484,USDC
2023-11-13 14:31:00,BTC-USDC,Sell,-0.068,36866.0,-2506.8880000000004,-1.002755,USDC
2023-11-13 02:35:00,BTC-USDC,Buy,0.05,37274.0,1863.7,-0.74548,USDC
2023-11-13 02:35:00,BTC-USDC,Buy,0.2464,37281.0,9186.0384,-1.377905,USDC
2023-11-13 02:35:00,BTC-USDC,Buy,0.0536,37281.0,1998.2616,-0.299739,USDC
2023-11-13 01:35:00,BTC-USDC,Sell,-0.257,37198.0,-9559.886,-1.433982,USDC
2023-11-13 01:35:00,BTC-USDC,Sell,-0.093,37198.0,-3459.4139999999998,-0.518912,USDC
2023-11-13 01:34:00,BTC-USDC,Sell,-0.4,37211.0,-14884.400000000001,-5.95376,USDC
2023-11-13 01:24:00,BTC-USDC,Buy,0.1,37297.0,3729.7000000000003,-1.49188,USDC
2023-11-13 01:17:00,BTC-USDC,Buy,0.3,37413.0,11223.9,-4.48956,USDC
2023-11-12 23:22:00,BTC-USDC,Sell,-0.2116,37001.0,-7829.4116,-3.131764,USDC
2023-11-12 23:22:00,BTC-USDC,Sell,-0.0068,37001.0,-251.6068,-0.100642,USDC
2023-11-12 23:22:00,BTC-USDC,Sell,-0.0816,37002.0,-3019.3632000000002,-1.207745,USDC
2023-11-12 17:32:00,BTC-USDC,Buy,0.2529,37146.0,9394.2234,-1.409133,USDC
2023-11-12 17:32:00,BTC-USDC,Buy,0.0087,37146.0,323.17019999999997,-0.048475,USDC
2023-11-12 17:32:00,BTC-USDC,Buy,0.0125,37146.0,464.32500000000005,-0.069648,USDC
2023-11-12 17:32:00,BTC-USDC,Buy,0.0259,37146.0,962.0814,-0.144312,USDC
2023-11-11 06:25:00,FIL-USDC,Sell,-327.3,4.52,-1479.396,-0.591758,USDC
2023-11-11 06:25:00,FIL-USDC,Sell,-47.7,4.52,-215.60399999999998,-0.086241,USDC
2023-11-10 21:07:00,FIL-USDC,Buy,132.2,4.55,601.5099999999999,-0.240604,USDC
2023-11-10 21:07:00,FIL-USDC,Buy,242.8,4.55,1104.74,-0.441896,USDC
2023-11-10 07:19:00,XLM-USDC,Sell,-12000.0,0.1224,-1468.8,-0.58752,USDC
2023-11-10 07:16:00,SOL-USDC,Sell,-18.7,47.648,-891.0176,-0.356407,USDC
2023-11-10 07:16:00,SOL-USDC,Sell,-6.3,47.648,-300.18240000000003,-0.120072,USDC
2023-11-10 06:21:00,SOL-USDC,Buy,18.6,46.933,872.9538000000001,-0.349181,USDC
2023-11-10 06:21:00,SOL-USDC,Buy,6.4,46.927,300.3328,-0.120133,USDC
2023-11-09 22:29:00,XLM-USDC,Buy,12000.0,0.1208,1449.6000000000001,-0.57984,USDC
2023-11-09 22:20:00,XLM-USDC,Sell,-68530.0,0.1206,-8264.718,-3.305887,USDC
2023-11-09 22:20:00,XLM-USDC,Sell,-14900.0,0.1206,-1796.94,-0.718776,USDC
2023-11-09 22:20:00,XLM-USDC,Sell,-16570.0,0.1207,-1999.999,-0.799999,USDC
2023-11-09 22:18:00,XLM-USDC,Buy,4600.0,0.1209,556.14,-0.083421,USDC
2023-11-09 22:18:00,XLM-USDC,Buy,4870.0,0.1209,588.783,-0.088317,USDC
2023-11-09 22:18:00,XLM-USDC,Buy,9750.0,0.1209,1178.7749999999999,-0.176816,USDC
2023-11-09 22:18:00,XLM-USDC,Buy,2430.0,0.1209,293.787,-0.044068,USDC
2023-11-09 22:18:00,XLM-USDC,Buy,8260.0,0.1209,998.6339999999999,-0.149795,USDC
2023-11-09 22:18:00,XLM-USDC,Buy,600.0,0.1209,72.53999999999999,-0.010881,USDC
2023-11-09 22:18:00,XLM-USDC,Buy,19750.0,0.1209,2387.775,-0.358166,USDC
2023-11-09 22:18:00,XLM-USDC,Buy,2560.0,0.1209,309.50399999999996,-0.046425,USDC
2023-11-09 22:18:00,XLM-USDC,Buy,3880.0,0.1209,469.092,-0.070363,USDC
2023-11-09 22:18:00,XLM-USDC,Buy,4640.0,0.1209,560.976,-0.084146,USDC
2023-11-09 22:18:00,XLM-USDC,Buy,2390.0,0.1209,288.95099999999996,-0.043342,USDC
2023-11-09 22:18:00,XLM-USDC,Buy,16520.0,0.1209,1997.2679999999998,-0.29959,USDC
2023-11-09 22:18:00,XLM-USDC,Buy,19750.0,0.1209,2387.775,-0.358166,USDC
2023-11-09 22:13:00,BTC-USDC,Buy,0.7,36681.0,25676.699999999997,-3.851505,USDC
2023-11-09 16:37:00,SOL-USDC,Sell,-11.4,43.582,-496.83480000000003,-0.198733,USDC
2023-11-09 16:13:00,SOL-USDC,Buy,9.4,43.819,411.89860000000004,-0.205949,USDC
2023-11-09 16:13:00,SOL-USDC,Buy,2.0,43.736,87.472,-0.043736,USDC
2023-11-09 16:11:00,BTC-USDC,Sell,-0.3,36673.0,-11001.9,-5.50095,USDC
2023-11-09 13:12:00,BTC-USDC,Sell,-0.05,36919.0,-1845.95,-0.73838,USDC
2023-11-09 10:25:00,BTC-USDC,Sell,-0.05,36923.0,-1846.15,-0.923075,USDC
2023-11-09 10:25:00,BTC-USDC,Buy,0.5,36926.0,18463.0,-9.2315,USDC
2023-11-09 10:24:00,BTC-USDC,Sell,-0.313,36927.0,-11558.151,-5.779075,USDC
2023-11-09 10:24:00,BTC-USDC,Sell,-0.187,36932.0,-6906.284,-3.453142,USDC
2023-11-09 10:05:00,BTC-USDC,Sell,-0.15,36781.0,-5517.15,-2.758575,USDC
2023-11-09 07:43:00,BTC-USDC,Sell,-0.1489,36619.0,-5452.569100000001,-2.726284,USDC
2023-11-09 07:43:00,BTC-USDC,Sell,-0.0011,36619.0,-40.2809,-0.02014,USDC
2023-11-09 07:43:00,ETH-USDC,Buy,0.15,1913.4,287.01,-0.143505,USDC
2023-11-09 02:29:00,ETH-USDC,Sell,-0.15,1919.9,-287.985,-0.143992,USDC
2023-11-07 17:44:00,BTC-USDC,Buy,0.35,34821.0,12187.349999999999,-6.093675,USDC
2023-11-07 15:45:00,BTC-USDC,Sell,-0.29,34669.0,-10054.009999999998,-2.010802,USDC
2023-11-07 15:45:00,BTC-USDC,Sell,-0.06,34669.0,-2080.14,-0.416028,USDC
2023-11-03 09:25:00,BTC-USDC,Sell,-0.2836,34301.0,-9727.7636,-4.863881,USDC
2023-11-03 09:25:00,BTC-USDC,Sell,-0.0164,34303.0,-562.5692,-0.281284,USDC
2023-11-03 08:51:00,BTC-USDC,Buy,0.3,34404.0,10321.199999999999,-5.1606,USDC
2023-11-03 08:38:00,BTC-USDC,Buy,0.2631,34514.0,9080.6334,-4.540316,USDC
2023-11-03 08:38:00,BTC-USDC,Buy,0.0869,34514.0,2999.2666000000004,-1.499633,USDC
2023-11-03 02:55:00,BTC-USDC,Sell,-0.2717,34666.0,-9418.752199999999,-1.88375,USDC
2023-11-03 02:55:00,BTC-USDC,Sell,-0.0783,34666.0,-2714.3478,-0.542869,USDC
2023-11-03 02:40:00,BTC-USDC,Sell,-0.15,34661.0,-5199.15,-2.599575,USDC
2023-11-03 00:56:00,ETH-USDC,Sell,-1.5,1782.0,-2673.0,-1.3365,USDC
2023-11-03 00:56:00,ETH-USDC,Sell,-1.5,1782.0,-2673.0,-1.3365,USDC
2023-11-02 20:03:00,ETH-USDC,Buy,1.5,1810.9,2716.3500000000004,-1.358175,USDC
2023-11-02 17:40:00,BTC-USDC,Buy,0.15,34681.0,5202.15,-2.601075,USDC
2023-11-02 17:38:00,BTC-USDC,Buy,0.3701,34685.0,12836.9185,-6.418459,USDC
2023-11-02 17:38:00,BTC-USDC,Buy,0.3299,34685.0,11442.5815,-5.72129,USDC
2023-11-02 13:31:00,BTC-USDC,Sell,-0.1254,35161.0,-4409.1894,-2.204594,USDC
2023-11-02 13:31:00,BTC-USDC,Sell,-0.5746,35161.0,-20203.5106,-10.101755,USDC
2023-11-02 13:30:00,BTC-USDC,Sell,-0.3,35153.0,-10545.9,-5.27295,USDC
2023-11-02 10:03:00,BTC-USDC,Buy,0.3,35387.0,10616.1,-5.30805,USDC
2023-11-02 10:02:00,ETH-USDC,Buy,1.5,1833.5,2750.25,-1.375125,USDC
2023-11-02 09:58:00,BTC-USDC,Buy,0.33,35410.0,11685.300000000001,-5.84265,USDC
2023-11-02 09:58:00,BTC-USDC,Buy,0.02,35410.0,708.2,-0.3541,USDC
2023-11-02 06:11:00,BTC-USDC,Sell,-0.35,35162.0,-12306.699999999999,-6.15335,USDC
2023-11-02 05:08:00,BTC-USDC,Sell,-0.1975,35430.0,-6997.425,-3.498712,USDC
2023-11-02 05:08:00,BTC-USDC,Sell,-0.2295,35430.0,-8131.185,-4.065592,USDC
2023-11-01 18:21:00,BTC-USDC,Buy,0.427,34559.0,14756.693,-7.378346,USDC
2023-11-01 18:20:00,ETH-USDC,Buy,2.0,1819.2,3638.4,-1.8192,USDC
2023-11-01 18:20:00,BTC-USDC,Buy,0.7,34540.0,24178.0,-12.089,USDC
2023-11-01 13:42:00,ETH-USDC,Sell,-2.0,1798.9,-3597.8,-1.7989,USDC
2023-11-01 13:41:00,BTC-USDC,Sell,-0.7,34530.0,-24171.0,-12.0855,USDC
2023-11-01 13:41:00,BTC-USDC,Sell,-0.3,34524.0,-10357.199999999999,-5.1786,USDC
2023-11-01 12:37:00,BTC-USDC,Buy,0.289,34456.0,9957.784,-4.978892,USDC
2023-11-01 12:37:00,BTC-USDC,Buy,0.011,34456.0,379.01599999999996,-0.189508,USDC
2023-11-01 11:37:00,ETH-USDC,Buy,0.333,1797.7,598.6341000000001,-0.299317,USDC
2023-11-01 11:37:00,ETH-USDC,Buy,1.667,1797.7,2996.7659000000003,-1.498382,USDC
2023-11-01 11:21:00,ETH-USDC,Sell,-2.0,1793.1,-3586.2,-1.7931,USDC
2023-11-01 10:25:00,BTC-USDC,Sell,-0.0094,34441.0,-323.7454,-0.161872,USDC
2023-11-01 10:25:00,BTC-USDC,Sell,-0.001,34441.0,-34.441,-0.01722,USDC
2023-11-01 10:25:00,BTC-USDC,Sell,-0.001,34441.0,-34.441,-0.01722,USDC
2023-11-01 10:25:00,BTC-USDC,Sell,-0.0289,34441.0,-995.3448999999999,-0.497672,USDC
2023-11-01 10:25:00,BTC-USDC,Sell,-0.05,34441.0,-1722.0500000000002,-0.861025,USDC
2023-11-01 10:25:00,BTC-USDC,Sell,-0.07,34441.0,-2410.8700000000003,-1.205435,USDC
2023-11-01 10:25:00,BTC-USDC,Sell,-0.0397,34441.0,-1367.3077,-0.683653,USDC
2023-10-31 19:02:00,BTC-USDC,Buy,0.2,34565.0,6913.0,-3.4565,USDC
2023-10-31 18:59:00,BTC-USDC,Buy,0.2974,34486.0,10256.1364,-5.128068,USDC
2023-10-31 18:59:00,BTC-USDC,Buy,0.0526,34486.0,1813.9636,-0.906981,USDC
2023-10-31 18:45:00,BTC-USDC,Buy,0.35,34417.0,12045.949999999999,-6.022975,USDC
2023-10-31 17:13:00,LINK-USDC,Sell,-100.0,11.204,-1120.4,-0.5602,USDC
2023-10-31 17:13:00,BTC-USDC,Sell,-0.2343,34368.0,-8052.4224,-4.026211,USDC
2023-10-31 17:13:00,BTC-USDC,Sell,-0.4657,34368.0,-16005.1776,-8.002588,USDC
2023-10-31 17:13:00,BTC-USDC,Sell,-0.1,34371.0,-3437.1000000000004,-1.71855,USDC
2023-10-31 16:54:00,LINK-USDC,Buy,10.8,11.232,121.3056,-0.060652,USDC
2023-10-31 16:54:00,LINK-USDC,Buy,89.2,11.231,1001.8052,-0.500902,USDC
2023-10-31 16:52:00,BTC-USDC,Buy,0.1,34430.0,3443.0,-1.7215,USDC
2023-10-31 16:51:00,BTC-USDC,Buy,0.7,34433.0,24103.1,-12.05155,USDC
2023-10-31 16:40:00,ETH-USDC,Buy,2.0,1802.1,3604.2,-1.8021,USDC
2023-10-31 15:46:00,ETH-USDC,Sell,-1.624,1789.5,-2906.148,-1.453074,USDC
2023-10-31 15:46:00,ETH-USDC,Sell,-0.376,1789.5,-672.852,-0.336426,USDC
2023-10-31 08:19:00,LTC-USDC,Buy,7.0,68.7,480.90000000000003,-0.24045,USDC
2023-10-31 08:03:00,LTC-USDC,Sell,-7.0,68.5,-479.5,-0.23975,USDC
2023-10-30 15:43:00,BTC-USDC,Sell,-0.3211,34683.0,-11136.711299999999,-5.568355,USDC
2023-10-30 15:43:00,BTC-USDC,Sell,-0.0289,34683.0,-1002.3386999999999,-0.501169,USDC
