Date,Received Amount,Received Currency,Sent Amount,Sent Currency,Label
2022-12-22 09:00:00,12159.0,USDC,,,Margin Loan
2022-12-22 12:21:00,12170.0,USDC,,,Margin Loan
2022-12-22 12:22:00,,,12159.0,USDC,Margin Repayment
2022-12-22 13:45:00,,,12170.0,USDC,Margin Repayment
2023-01-12 17:38:00,5702.0178,USDC,,,Margin Loan
2023-01-12 21:04:00,,,5702.0178,USDC,Margin Repayment
2023-01-13 20:53:00,2852.2,USDC,,,Margin Loan
2023-01-15 18:08:00,6232.8,USDC,,,Margin Loan
2023-01-16 11:26:00,,,6232.8,USDC,Margin Repayment
2023-01-16 11:26:00,,,2852.2,USDC,Margin Repayment
2023-01-17 10:29:00,4043.0,USDC,,,Margin Loan
2023-01-17 10:32:00,,,4043.0,USDC,Margin Repayment
2023-01-18 14:10:00,3580.2000000000003,USDC,,,Margin Loan
2023-01-18 15:54:00,,,3580.2000000000003,USDC,Margin Repayment
2023-01-23 14:27:00,6514.4,USDC,,,Margin Loan
2023-01-23 15:00:00,6445.2,USDC,,,Margin Loan
2023-01-23 15:00:00,,,6514.4,USDC,Margin Repayment
2023-01-23 15:11:00,,,6445.2,USDC,Margin Repayment
2023-01-23 18:38:00,2496.0,USDC,,,Margin Loan
2023-01-23 19:52:00,,,2496.0,USDC,Margin Repayment
2023-01-23 20:21:00,8126.5,USDC,,,Margin Loan
2023-01-24 21:01:00,11539.2933,USDC,,,Margin Loan
2023-01-24 21:55:00,,,11539.2933,USDC,Margin Repayment
2023-01-24 21:55:00,11441.999999999998,USDC,,,Margin Loan
2023-01-24 22:39:00,,,11441.999999999998,USDC,Margin Repayment
2023-01-24 23:30:00,11315.5,USDC,,,Margin Loan
2023-01-25 01:26:00,,,11315.5,USDC,Margin Repayment
2023-01-25 05:51:00,,,8126.5,USDC,Margin Repayment
2023-01-25 08:53:00,11344.920000000002,USDC,,,Margin Loan
2023-01-27 01:37:00,,,11344.920000000002,USDC,Margin Repayment
2023-01-27 08:17:00,5028.0,USDC,,,Margin Loan
2023-01-27 08:38:00,5751.25,USDC,,,Margin Loan
2023-01-27 16:13:00,,,5751.25,USDC,Margin Repayment
2023-01-28 07:19:00,,,5028.0,USDC,Margin Repayment
2023-01-28 19:21:00,5759.5,USDC,,,Margin Loan
2023-01-30 05:32:00,,,5759.5,USDC,Margin Repayment
2023-02-08 12:59:00,3796.6000000000004,USDC,,,Margin Loan
2023-02-08 15:09:00,,,3796.6000000000004,USDC,Margin Repayment
2023-02-09 07:33:00,1321.0324,USDC,,,Margin Loan
2023-02-09 19:33:00,,,1321.0324,USDC,Margin Repayment
2023-02-13 18:56:00,11937.1,USDC,,,Margin Loan
2023-02-14 13:29:00,6498.913500000001,USDC,,,Margin Loan
2023-02-14 13:31:00,,,11937.1,USDC,Margin Repayment
2023-02-16 18:17:00,,,6498.913500000001,USDC,Margin Repayment
2023-02-19 15:17:00,7463.4,USDC,,,Margin Loan
2023-02-19 18:19:00,,,7463.4,USDC,Margin Repayment
2023-02-20 04:15:00,7361.4,USDC,,,Margin Loan
2023-02-20 14:45:00,,,7361.4,USDC,Margin Repayment
2023-02-20 14:48:00,8541.9105,USDC,,,Margin Loan
2023-02-21 20:42:00,,,8541.9105,USDC,Margin Repayment
2023-02-23 07:12:00,7322.1,USDC,,,Margin Loan
2023-02-23 11:46:00,,,7322.1,USDC,Margin Repayment
2023-02-23 12:53:00,7200.0,USDC,,,Margin Loan
2023-02-23 13:16:00,,,7200.0,USDC,Margin Repayment
2023-02-23 13:52:00,1876.2368,USDC,,,Margin Loan
2023-02-23 19:45:00,1454.0,USDC,,,Margin Loan
2023-02-23 22:16:00,,,1454.0,USDC,Margin Repayment
2023-02-24 08:26:00,,,1876.2368,USDC,Margin Repayment
2023-02-28 12:52:00,2080.015,USDC,,,Margin Loan
2023-02-28 21:16:00,,,2080.015,USDC,Margin Repayment
2023-03-01 05:36:00,2054.0964,USDC,,,Margin Loan
2023-03-01 08:53:00,16568.0,USDC,,,Margin Loan
2023-03-01 09:44:00,,,16568.0,USDC,Margin Repayment
2023-03-01 10:29:00,5845.987,USDC,,,Margin Loan
2023-03-01 11:40:00,,,5845.987,USDC,Margin Repayment
2023-03-01 11:50:00,,,2054.0964,USDC,Margin Repayment
2023-03-01 16:19:00,1976.0733,USDC,,,Margin Loan
2023-03-01 17:00:00,5836.8,USDC,,,Margin Loan
2023-03-03 14:13:00,,,5836.8,USDC,Margin Repayment
2023-03-06 04:32:00,,,1976.0733,USDC,Margin Repayment
2023-03-06 08:37:00,4489.5545,USDC,,,Margin Loan
2023-03-06 19:19:00,,,4489.5545,USDC,Margin Repayment
2023-03-08 08:53:00,2600.5112000000004,USDC,,,Margin Loan
2023-03-08 10:15:00,6607.5,USDC,,,Margin Loan
2023-03-08 12:55:00,,,6607.5,USDC,Margin Repayment
2023-03-09 18:31:00,6322.5,USDC,,,Margin Loan
2023-03-09 18:51:00,,,6322.5,USDC,Margin Repayment
2023-03-09 19:01:00,6294.0,USDC,,,Margin Loan
2023-03-09 19:13:00,,,6294.0,USDC,Margin Repayment
2023-03-10 21:07:00,,,2600.5112000000004,USDC,Margin Repayment
2023-07-17 19:20:00,1093.1999999999998,USDC,,,Margin Loan
2023-07-21 14:40:00,1807.9999999999998,USDC,,,Margin Loan
2023-07-22 23:18:00,,,1807.9999999999998,USDC,Margin Repayment
2023-07-23 06:32:00,,,1093.1999999999998,USDC,Margin Repayment
2023-07-23 17:29:00,1112.4,USDC,,,Margin Loan
2023-07-23 17:44:00,1759.3999999999999,USDC,,,Margin Loan
2023-07-24 08:55:00,,,1112.4,USDC,Margin Repayment
2023-07-24 09:51:00,,,1759.3999999999999,USDC,Margin Repayment
2023-07-24 09:51:00,3874.8,USDC,,,Margin Loan
2023-07-24 16:40:00,892.0,USDC,,,Margin Loan
2023-07-26 09:30:00,,,892.0,USDC,Margin Repayment
2023-07-26 19:02:00,1506.6,USDC,,,Margin Loan
2023-08-01 07:09:00,,,1506.6,USDC,Margin Repayment
2023-08-01 07:10:00,,,3874.8,USDC,Margin Repayment
2023-08-02 05:46:00,2217.6000000000004,USDC,,,Margin Loan
2023-08-02 17:56:00,,,2217.6000000000004,USDC,Margin Repayment
2023-08-08 13:03:00,8890.8,USDC,,,Margin Loan
2023-08-08 13:18:00,,,8890.8,USDC,Margin Repayment
2023-08-08 15:19:00,2761.3500000000004,USDC,,,Margin Loan
2023-08-08 23:18:00,8888.25,USDC,,,Margin Loan
2023-08-10 06:16:00,1538.0,USDC,,,Margin Loan
2023-08-10 22:24:00,,,2761.3500000000004,USDC,Margin Repayment
2023-08-11 05:42:00,2770.3500000000004,USDC,,,Margin Loan
2023-08-11 15:42:00,,,8888.25,USDC,Margin Repayment
2023-08-11 15:43:00,,,1538.0,USDC,Margin Repayment
2023-08-11 15:43:00,,,2770.3500000000004,USDC,Margin Repayment
2023-10-16 13:37:00,4874.5878,USDC,,,Margin Loan
2023-10-16 18:35:00,,,4874.5878,USDC,Margin Repayment
2023-10-21 18:56:00,3580.0,USDC,,,Margin Loan
2023-10-22 06:32:00,6520.0,USDC,,,Margin Loan
2023-10-22 07:26:00,,,6520.0,USDC,Margin Repayment
2023-10-22 07:46:00,,,3580.0,USDC,Margin Repayment
2023-10-29 06:39:00,11936.75,USDC,,,Margin Loan
2023-10-29 06:41:00,,,11936.75,USDC,Margin Repayment
2023-10-29 18:18:00,700.6875,USDC,,,Margin Loan
2023-10-30 02:02:00,,,700.6875,USDC,Margin Repayment
2023-10-30 09:18:00,3451.5,USDC,,,Margin Loan
2023-10-30 09:20:00,1368.6966,USDC,,,Margin Loan
2023-10-30 13:07:00,,,3451.5,USDC,Margin Repayment
2023-10-30 13:07:00,,,1368.6966,USDC,Margin Repayment
2023-10-30 13:22:00,5199.599999999999,USDC,,,Margin Loan
2023-10-30 13:38:00,,,5199.599999999999,USDC,Margin Repayment
2023-10-31 16:51:00,3443.0,USDC,,,Margin Loan
2023-10-31 16:53:00,1123.1108,USDC,,,Margin Loan
2023-10-31 17:14:00,,,3443.0,USDC,Margin Repayment
2023-10-31 17:14:00,,,1123.1108,USDC,Margin Repayment
2023-10-31 19:01:00,6913.0,USDC,,,Margin Loan
2023-11-01 10:26:00,,,6913.0,USDC,Margin Repayment
2023-11-01 12:36:00,10336.8,USDC,,,Margin Loan
2023-11-01 13:42:00,,,10336.8,USDC,Margin Repayment
2023-11-01 18:20:00,14756.693,USDC,,,Margin Loan
2023-11-02 05:09:00,,,14756.693,USDC,Margin Repayment
2023-11-02 10:01:00,5466.6,USDC,,,Margin Loan
2023-11-02 10:02:00,10616.1,USDC,,,Margin Loan
2023-11-02 13:31:00,,,10616.1,USDC,Margin Repayment
2023-11-02 17:39:00,5202.15,USDC,,,Margin Loan
